Name Gender Age Height Weight
1 JOYCE F 11 130.302 22.877
2 THOMAS M 11 146.050 38.505
3 JAMES M 12 145.542 37.599
4 JANE F 12 151.892 38.279
5 JOHN M 12 149.860 45.074
6 LOUISE F 12 143.002 34.881
7 ROBERT M 12 164.592 57.984
8 ALICE F 13 143.510 38.052
9 BARBARA F 13 165.862 44.394
10 JEFFREY M 13 158.750 38.052
11 CAROL F 14 159.512 46.433
12 HENRY M 14 161.290 46.433
13 ALFRED M 14 175.260 50.963
14 JUDY F 14 163.322 40.770
15 JANET F 15 158.750 50.963
16 MARY F 15 168.910 50.736
17 RONALD M 15 170.180 60.249
18 WILLIAM M 15 168.910 50.736
19 PHILIP M 16 182.880 67.950
